day,1 USD=
28-08-2020,73.2462
29-08-2020,73.2462
30-08-2020,73.4683
31-08-2020,73.6505
01-09-2020,73.31955
02-09-2020,73.54825
03-09-2020,73.435
04-09-2020,73.4765
05-09-2020,73.4765
06-09-2020,73.3992
07-09-2020,73.60485
08-09-2020,73.46805
09-09-2020,73.6263
10-09-2020,73.5402
11-09-2020,73.61015
12-09-2020,73.61015
13-09-2020,73.58295
14-09-2020,73.54245
15-09-2020,73.54765
16-09-2020,73.73705
17-09-2020,73.76205
18-09-2020,73.6995
19-09-2020,73.6995
20-09-2020,73.81205
21-09-2020,73.777
22-09-2020,73.5644
23-09-2020,73.221
24-09-2020,73.3019
25-09-2020,73.3226
26-09-2020,73.3226
27-09-2020,73.11255
28-09-2020,73.4738
29-09-2020,73.36245
30-09-2020,73.32295
01-10-2020,72.98515
02-10-2020,72.9612
03-10-2020,72.9612
04-10-2020,73.3726
05-10-2020,73.42415
06-10-2020,73.3264
07-10-2020,73.4539
08-10-2020,73.4365
09-10-2020,73.3588
10-10-2020,73.47575
11-10-2020,73.60075
12-10-2020,73.6672
13-10-2020,73.85335
14-10-2020,73.83415
15-10-2020,73.83415
16-10-2020,73.95605
17-10-2020,73.73795
18-10-2020,74.2153
19-10-2020,74.40185
20-10-2020,74.5919
21-10-2020,74.55165
22-10-2020,74.6384
23-10-2020,74.3488
24-10-2020,73.8758
25-10-2020,73.97375
26-10-2020,73.98115
27-10-2020,73.98115
28-10-2020,74.0209
29-10-2020,74.34735
30-10-2020,74.51445
31-10-2020,74.5997
01-11-2020,74.58535
02-11-2020,74.5379
03-11-2020,74.5379
04-11-2020,74.388
05-11-2020,74.43055
06-11-2020,74.1022
07-11-2020,74.14855
08-11-2020,74.1201
09-11-2020,74.16265
10-11-2020,74.16265
11-11-2020,74.23075
12-11-2020,74.0323
13-11-2020,73.7917
14-11-2020,73.81525
15-11-2020,74.01405
16-11-2020,73.96245
17-11-2020,73.96245
18-11-2020,74.01505
19-11-2020,73.50525
20-11-2020,73.7197
21-11-2020,73.82625
22-11-2020,73.7725
23-11-2020,73.79855
24-11-2020,73.79855
25-11-2020,73.76355
26-11-2020,73.68615
27-11-2020,73.8051
28-11-2020,73.73575
29-11-2020,73.73615
30-11-2020,73.7383
01-12-2020,73.7383
02-12-2020,73.6888
03-12-2020,73.51895
04-12-2020,73.66545
05-12-2020,73.54865
06-12-2020,73.5221
07-12-2020,73.6071
08-12-2020,73.6071
09-12-2020,74.0041
10-12-2020,73.8873
11-12-2020,73.792
12-12-2020,73.5196
13-12-2020,73.4987
14-12-2020,73.35415
15-12-2020,73.1866
16-12-2020,73.0116
17-12-2020,73.09255
18-12-2020,73.09225
19-12-2020,73.09225
20-12-2020,73.0962
21-12-2020,73.16385
22-12-2020,73.16455
23-12-2020,73.42905
24-12-2020,73.32185
25-12-2020,73.3784
26-12-2020,73.3784
27-12-2020,73.50105
28-12-2020,73.26535
29-12-2020,73.07855
30-12-2020,73.0862
31-12-2020,73.16135
01-01-2021,73.1625
02-01-2021,73.1625
03-01-2021,73.1804
04-01-2021,73.19195
05-01-2021,72.93665
06-01-2021,72.95575
07-01-2021,72.99345
08-01-2021,72.9994
09-01-2021,72.9994
10-01-2021,72.9918
11-01-2021,72.9257
12-01-2021,73.03215
13-01-2021,72.93465
14-01-2021,72.87445
15-01-2021,72.90725
16-01-2021,73.16615
17-01-2021,72.97125
18-01-2021,72.82985
19-01-2021,72.92585
20-01-2021,72.84745
21-01-2021,72.7883
22-01-2021,72.7883
23-01-2021,72.90285
24-01-2021,72.86135
25-01-2021,72.79965
26-01-2021,72.7073
27-01-2021,72.5977
28-01-2021,72.59105
29-01-2021,72.59105
30-01-2021,72.62385
31-01-2021,72.84295
01-02-2021,72.82715
02-02-2021,72.6368
03-02-2021,72.5106
04-02-2021,72.55135
05-02-2021,72.5543
06-02-2021,72.4861
07-02-2021,72.42755
08-02-2021,72.38175
09-02-2021,72.7356
10-02-2021,73.96765
11-02-2021,73.5964
12-02-2021,73.5964
13-02-2021,73.3693
14-02-2021,73.2902
15-02-2021,72.8932
16-02-2021,72.73985
17-02-2021,73.29395
18-02-2021,73.1809
19-02-2021,73.1809
20-02-2021,73.33025
21-02-2021,72.90355
22-02-2021,72.7895
23-02-2021,72.69865
24-02-2021,72.6782
25-02-2021,72.68925
26-02-2021,72.6905
27-02-2021,72.5213
28-02-2021,72.5622
01-03-2021,72.5772
02-03-2021,72.66395
03-03-2021,72.4111
04-03-2021,72.44205
05-03-2021,72.44205
06-03-2021,72.3626
07-03-2021,72.5163
08-03-2021,72.5934
